Nume_actiune, Timestamp
Row deleted in AUTHORS ,25-05-2021 18:51:57
All authors displayed,25-05-2021 18:51:57
Table SECTIONS created,25-05-2021 18:51:57
Row inserted in SECTIONS ,25-05-2021 18:51:57
Section displayed,25-05-2021 18:51:57
Row inserted in SECTIONS ,25-05-2021 18:51:57
Section displayed,25-05-2021 18:51:57
Row updated in SECTIONS ,25-05-2021 18:51:57
Section displayed,25-05-2021 18:51:57
Row inserted in SECTIONS ,25-05-2021 18:51:57
Row inserted in SECTIONS ,25-05-2021 18:51:57
Row inserted in SECTIONS ,25-05-2021 18:51:57
Row deleted in SECTIONS ,25-05-2021 18:51:57
All sections displayed,25-05-2021 18:51:57
Table BOOKS created,25-05-2021 18:51:57
Row inserted in BOOKS ,25-05-2021 18:51:57
Row inserted in BOOKS ,25-05-2021 18:51:57
Book displayed,25-05-2021 18:51:57
Row updated in BOOKS ,25-05-2021 18:51:57
Book displayed,25-05-2021 18:51:57
Row deleted in BOOKS ,25-05-2021 18:51:57
All books displayed,25-05-2021 18:51:57
Row inserted in BOOKS ,25-05-2021 18:51:57
Row inserted in BOOKS ,25-05-2021 18:51:57
All books displayed,25-05-2021 18:51:57
 ** Table READERS **,25-05-2021 18:51:57
Row inserted in READERS ,25-05-2021 18:51:57
Reader displayed,25-05-2021 18:51:57
Row updated in READERS ,25-05-2021 18:51:57
Reader displayed,25-05-2021 18:51:57
Row inserted in READERS ,25-05-2021 18:51:57
Row deleted in READERS ,25-05-2021 18:51:57
All readers displayed,25-05-2021 18:51:57
changeSection,25-05-2021 18:53:26
displayBookAge,25-05-2021 18:53:26
calculateDaysAvailable,25-05-2021 18:53:26
getBooksByAuthor,25-05-2021 18:53:26
addBook,25-05-2021 18:53:26
sortBooks,25-05-2021 18:53:26
printReader,25-05-2021 18:53:26
removeBook,25-05-2021 18:53:26
printReader,25-05-2021 18:53:26
removeAllBooks,25-05-2021 18:53:26
printReader,25-05-2021 18:53:26
getReadersByAge,25-05-2021 18:53:26
sortReadersAlphabetically,25-05-2021 18:53:26
Table READERS dropped,25-05-2021 18:53:26
Table BOOKS dropped,25-05-2021 18:53:26
Table AUTHORS dropped,25-05-2021 18:53:26
Table SECTIONS dropped,25-05-2021 18:53:26
 ** AUTHORS **,25-05-2021 18:53:26
Row inserted in AUTHORS ,25-05-2021 18:53:26
Author displayed,25-05-2021 18:53:26
Row updated in AUTHORS ,25-05-2021 18:53:26
Author displayed,25-05-2021 18:53:26
Inserted authors from CSV file,25-05-2021 18:53:26
Row deleted in AUTHORS ,25-05-2021 18:53:26
All authors displayed,25-05-2021 18:53:26
Table SECTIONS created,25-05-2021 18:53:26
Row inserted in SECTIONS ,25-05-2021 18:53:26
Section displayed,25-05-2021 18:53:26
Row inserted in SECTIONS ,25-05-2021 18:53:26
Section displayed,25-05-2021 18:53:26
Row updated in SECTIONS ,25-05-2021 18:53:26
Section displayed,25-05-2021 18:53:26
Row inserted in SECTIONS ,25-05-2021 18:53:26
Row inserted in SECTIONS ,25-05-2021 18:53:26
Row inserted in SECTIONS ,25-05-2021 18:53:26
Row deleted in SECTIONS ,25-05-2021 18:53:26
All sections displayed,25-05-2021 18:53:26
Table BOOKS created,25-05-2021 18:53:26
Row inserted in BOOKS ,25-05-2021 18:53:26
Row inserted in BOOKS ,25-05-2021 18:53:26
Book displayed,25-05-2021 18:53:26
Row updated in BOOKS ,25-05-2021 18:53:26
Book displayed,25-05-2021 18:53:26
Row deleted in BOOKS ,25-05-2021 18:53:26
All books displayed,25-05-2021 18:53:26
Row inserted in BOOKS ,25-05-2021 18:53:26
Row inserted in BOOKS ,25-05-2021 18:53:26
All books displayed,25-05-2021 18:53:26
Table READERS created,25-05-2021 18:53:26
Row inserted in READERS ,25-05-2021 18:53:26
Reader displayed,25-05-2021 18:53:26
Row updated in READERS ,25-05-2021 18:53:26
Reader displayed,25-05-2021 18:53:26
Row inserted in READERS ,25-05-2021 18:53:26
Row deleted in READERS ,25-05-2021 18:53:26
All readers displayed,25-05-2021 18:53:26
changeSection,25-05-2021 18:54:00
displayBookAge,25-05-2021 18:54:01
calculateDaysAvailable,25-05-2021 18:54:01
getBooksByAuthor,25-05-2021 18:54:01
addBook,25-05-2021 18:54:01
sortBooks,25-05-2021 18:54:01
printReader,25-05-2021 18:54:01
removeBook,25-05-2021 18:54:01
printReader,25-05-2021 18:54:01
removeAllBooks,25-05-2021 18:54:01
printReader,25-05-2021 18:54:01
getReadersByAge,25-05-2021 18:54:01
sortReadersAlphabetically,25-05-2021 18:54:01
Table READERS dropped,25-05-2021 18:54:01
Table BOOKS dropped,25-05-2021 18:54:01
Table AUTHORS dropped,25-05-2021 18:54:01
